SK_ID_CURR,TARGET
100001,0.13
100005,0.23
100013,0.1
100028,0.09
100038,0.19
100042,0.18
100057,0.11
100065,0.2
100066,0.05
100067,0.28
100074,0.24
100090,0.11
100091,0.14
100092,0.16
100106,0.12
100107,0.14
100109,0.15
100117,0.15
100128,0.1
100141,0.22
100150,0.12
100168,0.09
100169,0.16
100170,0.13
100171,0.1
100172,0.25
100184,0.12
100187,0.19
100212,0.31
100222,0.13
100223,0.1
100232,0.13
100241,0.31
100245,0.18
100253,0.06
100256,0.17
100271,0.07
100278,0.32
100280,0.12
100306,0.22
100311,0.27
100312,0.12
100330,0.16
100331,0.13
100352,0.21
100358,0.12
100367,0.13
100382,0.34
100384,0.11
100385,0.19
100386,0.16
100399,0.09
100404,0.13
100416,0.14
100422,0.19
100426,0.15
100438,0.15
100444,0.22
100445,0.16
100446,0.19
100447,0.17
100450,0.15
100466,0.12
100483,0.06
100484,0.09
100494,0.17
100510,0.18
100512,0.17
100517,0.16
100548,0.13
100551,0.1
100552,0.18
100553,0.09
100561,0.2
100568,0.39
100569,0.11
100591,0.11
100592,0.1
100602,0.14
100607,0.18
100613,0.21
100617,0.18
100618,0.22
100622,0.22
100625,0.19
100677,0.25
100699,0.19
100702,0.4
100711,0.23
100729,0.17
100740,0.22
100744,0.2
100745,0.1
100747,0.26
100751,0.21
100752,0.21
100753,0.28
100754,0.14
100760,0.16
100762,0.18
100763,0.18
100765,0.07
100770,0.21
100772,0.05
100777,0.08
100791,0.1
100792,0.09
100797,0.1
100823,0.17
100826,0.16
100830,0.11
100836,0.34
100872,0.16
100910,0.12
100913,0.22
100918,0.19
100931,0.05
100952,0.19
100953,0.18
100965,0.27
100970,0.11
100982,0.2
100983,0.24
100984,0.11
100987,0.2
100997,0.15
100998,0.17
101002,0.29
101005,0.23
101008,0.15
101020,0.14
101021,0.1
101024,0.26
101025,0.34
101026,0.2
101031,0.14
101041,0.11
101051,0.13
101055,0.12
101056,0.42
101057,0.1
101064,0.17
101079,0.16
101087,0.24
101090,0.19
101092,0.16
101097,0.16
101099,0.13
101107,0.19
101118,0.2
101125,0.11
101126,0.13
101128,0.19
101136,0.19
101140,0.22
101149,0.14
101160,0.1
101169,0.26
101181,0.07
101186,0.1
101190,0.23
101193,0.17
101194,0.3
101198,0.22
101200,0.1
101204,0.13
101211,0.18
101213,0.18
101223,0.11
101225,0.19
101237,0.19
101243,0.17
101244,0.31
101258,0.14
101259,0.27
101268,0.24
101269,0.1
101271,0.23
101279,0.15
101281,0.21
101287,0.03
101292,0.12
101294,0.08
101296,0.14
101297,0.1
101299,0.17
101301,0.15
101305,0.14
101308,0.14
101318,0.14
101327,0.21
101329,0.08
101332,0.16
101337,0.13
101343,0.09
101345,0.11
101346,0.08
101353,0.07
101354,0.24
101355,0.25
101356,0.14
101362,0.1
101363,0.29
101365,0.12
101366,0.19
101367,0.21
101368,0.1
101374,0.13
101380,0.07
101383,0.15
101398,0.11
101399,0.29
101401,0.2
101412,0.24
101426,0.12
101427,0.31
101428,0.36
101429,0.23
101434,0.12
101440,0.15
101448,0.15
101449,0.19
101465,0.23
101467,0.17
101472,0.19
101478,0.29
101497,0.18
101504,0.19
101547,0.15
101548,0.18
101555,0.3
101570,0.15
101572,0.11
101578,0.21
101580,0.2
101588,0.2
101602,0.11
101610,0.23
101614,0.16
101616,0.17
101643,0.13
101644,0.15
101649,0.17
101650,0.2
101665,0.14
101667,0.16
101669,0.13
101674,0.14
101675,0.07
101678,0.13
101682,0.1
101686,0.12
101697,0.29
101700,0.24
101711,0.16
101714,0.05
101715,0.3
101728,0.18
101732,0.07
101757,0.2
101758,0.11
101759,0.14
101762,0.09
101764,0.07
101780,0.29
101784,0.1
101789,0.11
101816,0.09
101819,0.21
101827,0.07
101863,0.12
101867,0.2
101870,0.12
101873,0.26
101878,0.22
101879,0.22
101880,0.1
101887,0.14
101897,0.12
101901,0.17
101903,0.32
101920,0.14
101921,0.07
101922,0.22
101961,0.19
101962,0.22
101971,0.09
101976,0.23
102002,0.26
102005,0.12
102007,0.31
102017,0.13
102019,0.26
102029,0.09
102051,0.23
102052,0.14
102054,0.06
102062,0.13
102067,0.22
102068,0.19
102070,0.11
102090,0.15
102092,0.16
102099,0.13
102100,0.11
102112,0.17
102113,0.09
102122,0.25
102123,0.21
102125,0.09
102126,0.3
102146,0.13
102147,0.23
102151,0.13
102158,0.17
102159,0.12
102162,0.16
102165,0.08
102166,0.04
102174,0.07
102193,0.26
102198,0.13
102205,0.21
102206,0.1
102218,0.06
102221,0.19
102230,0.1
102238,0.14
102248,0.1
102252,0.36
102259,0.19
102262,0.22
102273,0.11
102286,0.29
102293,0.1
102294,0.1
102296,0.1
102298,0.16
102303,0.11
102309,0.19
102315,0.14
102340,0.06
102342,0.16
102344,0.15
102346,0.15
102347,0.1
102374,0.19
102380,0.07
102387,0.21
102393,0.14
102403,0.1
102413,0.15
102414,0.08
102415,0.12
102416,0.12
102439,0.14
102441,0.1
102443,0.05
102444,0.26
102445,0.25
102448,0.07
102449,0.1
102450,0.31
102456,0.11
102458,0.19
102459,0.1
102465,0.07
102470,0.34
102471,0.11
102475,0.17
102476,0.19
102506,0.19
102509,0.05
102519,0.15
102522,0.11
102545,0.12
102549,0.11
102562,0.12
102563,0.11
102568,0.14
102582,0.12
102592,0.06
102597,0.16
102605,0.16
102614,0.19
102617,0.27
102634,0.07
102652,0.09
102655,0.02
102671,0.05
102694,0.19
102701,0.16
102703,0.07
102704,0.08
102713,0.17
102720,0.16
102731,0.1
102733,0.09
102749,0.11
102755,0.14
102763,0.12
102770,0.21
102772,0.08
102799,0.17
102838,0.09
102854,0.16
102862,0.14
102863,0.08
102867,0.08
102868,0.09
102878,0.13
102887,0.09
102898,0.39
102904,0.15
102912,0.16
102919,0.11
102927,0.2
102932,0.18
102933,0.12
102935,0.14
102958,0.18
102969,0.18
102971,0.06
102975,0.08
102979,0.1
102982,0.1
102987,0.21
102989,0.14
102995,0.17
102996,0.19
103000,0.15
103001,0.19
103004,0.18
103010,0.13
103025,0.19
103029,0.07
103046,0.13
103056,0.12
103062,0.27
103078,0.11
103083,0.12
103092,0.11
103096,0.12
103097,0.25
103102,0.17
103112,0.17
103132,0.1
103144,0.16
103145,0.19
103146,0.15
103147,0.16
103158,0.1
103171,0.27
103173,0.09
103184,0.13
103195,0.27
103196,0.16
103206,0.14
103230,0.19
103231,0.18
103232,0.09
103239,0.25
103240,0.2
103243,0.13
103252,0.19
103258,0.1
103259,0.22
103279,0.1
103280,0.11
103286,0.06
103287,0.36
103290,0.09
103298,0.09
103315,0.14
103319,0.08
103334,0.19
103336,0.22
103345,0.16
103368,0.13
103371,0.22
103377,0.16
103398,0.11
103404,0.1
103408,0.2
103410,0.14
103418,0.2
103420,0.35
103432,0.17
103433,0.1
103436,0.09
103440,0.15
103453,0.15
103459,0.14
103460,0.13
103461,0.05
103462,0.09
103473,0.18
103474,0.07
103475,0.32
103478,0.22
