SK_ID_CURR,TARGET
100001,0.18
100005,0.27
100013,0.13
100028,0.17
100038,0.35
100042,0.24
100057,0.14
100065,0.19
100066,0.11
100067,0.27
100074,0.17
100090,0.23
100091,0.23
100092,0.23
100106,0.12
100107,0.23
100109,0.11
100117,0.21
100128,0.16
100141,0.19
100150,0.13
100168,0.21
100169,0.1
100170,0.15
100171,0.21
100172,0.32
100184,0.16
100187,0.2
100212,0.33
100222,0.25
100223,0.2
100232,0.16
100241,0.26
100245,0.21
100253,0.15
100256,0.26
100271,0.13
100278,0.31
100280,0.21
100306,0.27
100311,0.28
100312,0.15
100330,0.25
100331,0.17
100352,0.23
100358,0.22
100367,0.2
100382,0.2
100384,0.15
100385,0.21
100386,0.2
100399,0.19
100404,0.21
100416,0.2
100422,0.29
100426,0.2
100438,0.17
100444,0.16
100445,0.29
100446,0.15
100447,0.11
100450,0.18
100466,0.21
100483,0.14
100484,0.09
100494,0.2
100510,0.16
100512,0.17
100517,0.24
100548,0.13
100551,0.18
100552,0.21
100553,0.17
100561,0.27
100568,0.38
100569,0.16
100591,0.23
100592,0.14
100602,0.26
100607,0.21
100613,0.26
100617,0.21
100618,0.28
100622,0.26
100625,0.24
100677,0.28
100699,0.11
100702,0.4
100711,0.23
100729,0.24
100740,0.3
100744,0.33
100745,0.26
100747,0.21
100751,0.35
100752,0.21
100753,0.25
100754,0.24
100760,0.2
100762,0.18
100763,0.15
100765,0.17
100770,0.21
100772,0.11
100777,0.13
100791,0.09
100792,0.16
100797,0.22
100823,0.22
100826,0.14
100830,0.16
100836,0.38
100872,0.22
100910,0.18
100913,0.26
100918,0.1
100931,0.14
100952,0.23
100953,0.21
100965,0.29
100970,0.16
100982,0.3
100983,0.28
100984,0.24
100987,0.14
100997,0.18
100998,0.23
101002,0.17
101005,0.18
101008,0.28
101020,0.13
101021,0.19
101024,0.23
101025,0.27
101026,0.28
101031,0.07
101041,0.22
101051,0.15
101055,0.26
101056,0.42
101057,0.09
101064,0.13
101079,0.24
101087,0.22
101090,0.2
101092,0.28
101097,0.22
101099,0.19
101107,0.27
101118,0.21
101125,0.13
101126,0.14
101128,0.2
101136,0.19
101140,0.3
101149,0.13
101160,0.2
101169,0.3
101181,0.22
101186,0.19
101190,0.19
101193,0.2
101194,0.24
101198,0.18
101200,0.19
101204,0.26
101211,0.21
101213,0.3
101223,0.2
101225,0.3
101237,0.2
101243,0.18
101244,0.22
101258,0.14
101259,0.16
101268,0.29
101269,0.18
101271,0.3
101279,0.19
101281,0.2
101287,0.16
101292,0.17
101294,0.23
101296,0.17
101297,0.21
101299,0.15
101301,0.19
101305,0.24
101308,0.24
101318,0.07
101327,0.26
101329,0.19
101332,0.16
101337,0.14
101343,0.16
101345,0.22
101346,0.16
101353,0.11
101354,0.26
101355,0.21
101356,0.16
101362,0.2
101363,0.37
101365,0.16
101366,0.24
101367,0.2
101368,0.13
101374,0.23
101380,0.14
101383,0.13
101398,0.13
101399,0.4
101401,0.24
101412,0.2
101426,0.25
101427,0.4
101428,0.32
101429,0.33
101434,0.21
101440,0.25
101448,0.21
101449,0.21
101465,0.21
101467,0.21
101472,0.19
101478,0.21
101497,0.21
101504,0.2
101547,0.13
101548,0.28
101555,0.22
101570,0.21
101572,0.18
101578,0.19
101580,0.24
101588,0.25
101602,0.21
101610,0.26
101614,0.22
101616,0.15
101643,0.2
101644,0.23
101649,0.13
101650,0.23
101665,0.11
101667,0.23
101669,0.11
101674,0.21
101675,0.15
101678,0.2
101682,0.27
101686,0.16
101697,0.29
101700,0.34
101711,0.14
101714,0.18
101715,0.31
101728,0.24
101732,0.12
101757,0.23
101758,0.17
101759,0.25
101762,0.13
101764,0.13
101780,0.39
101784,0.17
101789,0.07
101816,0.19
101819,0.27
101827,0.13
101863,0.26
101867,0.23
101870,0.13
101873,0.32
101878,0.23
101879,0.28
101880,0.17
101887,0.2
101897,0.2
101901,0.17
101903,0.27
101920,0.17
101921,0.16
101922,0.19
101961,0.28
101962,0.18
101971,0.15
101976,0.23
102002,0.3
102005,0.15
102007,0.35
102017,0.19
102019,0.35
102029,0.15
102051,0.29
102052,0.13
102054,0.12
102062,0.24
102067,0.26
102068,0.14
102070,0.14
102090,0.21
102092,0.18
102099,0.22
102100,0.21
102112,0.22
102113,0.11
102122,0.3
102123,0.2
102125,0.05
102126,0.36
102146,0.19
102147,0.32
102151,0.23
102158,0.31
102159,0.17
102162,0.18
102165,0.18
102166,0.19
102174,0.18
102193,0.35
102198,0.17
102205,0.26
102206,0.2
102218,0.23
102221,0.22
102230,0.19
102238,0.1
102248,0.04
102252,0.32
102259,0.2
102262,0.24
102273,0.14
102286,0.17
102293,0.16
102294,0.1
102296,0.14
